level_0	index	sid	nid	size	dilated_size	scaling	magnification	image_type	Channel	Nuclei	x	y	z	Value	FWHM	SNR	NSNR	Label	SNR2	Value2
131	131	1	22	6235	10654	1.0	20x	raw	a647	0	143.946	99.081	56.177	0.263	2.071	7.695	-1.0	0	8.34554962325291	0.263
132	132	1	44	5341	11140	1.0	20x	raw	a647	66	118.003	215.189	55.081	0.261	1.557	13.937	1.306	0	11.691370139039199	0.261
133	133	1	89	10436	20499	1.0	20x	raw	a647	60	367.973	203.998	57.132	0.261	1.76	6.662000000000001	1.307	0	7.20670234879012	0.261
134	134	1	89	10436	20499	1.0	20x	raw	a647	60	385.044	211.97	53.257	0.26	2.296	7.3610000000000015	1.14	0	6.14944652761953	0.26
135	135	1	34	12042	22664	1.0	20x	raw	a647	81	83.02799999999998	354.035	50.932	0.259	1.805	9.451	1.324	0	7.558368973180372	0.259
136	136	1	152	5833	11405	1.0	20x	raw	a647	116	597.106	453.924	49.949	0.259	3.303	9.805	1.252	0	8.64259921453493	0.259
138	138	1	79	7362	14370	1.0	20x	raw	a647	54	280.026	187.237	50.947	0.258	3.524	5.343	1.19	0	7.40905746183624	0.258
139	139	1	22	6235	10654	1.0	20x	raw	a647	13	137.991	107.019	54.39100000000001	0.257	2.073	9.752	1.228	0	11.579075159706301	0.257
140	140	1	25	3159	5704	1.0	20x	raw	a647	0	148.844	131.941	56.026	0.256	2.404	6.249	-1.0	0	4.86200317093739	0.256
141	141	1	79	7362	14370	1.0	20x	raw	a647	0	286.888	191.028	57.217	0.256	1.815	5.606	-1.0	0	5.699375619614849	0.256
154	154	1	7	8570	15948	1.0	20x	raw	a647	0	84.06700000000002	253.987	54.044	0.25	2.109	8.558	-1.0	0	2.06897301254444	0.25
143	143	1	34	12042	22664	1.0	20x	raw	a647	81	86.007	359.977	52.987	0.255	2.07	7.999	1.21	0	9.036500419763787	0.255
145	145	1	144	2934	7008	1.0	20x	raw	a647	0	572.034	125.964	56.053	0.254	2.669	5.434	-1.0	0	5.5086582537962485	0.254
146	146	1	89	10436	20499	1.0	20x	raw	a647	0	336.006	208.012	55.015	0.254	2.278	8.86	-1.0	0	8.87935666471568	0.254
147	147	1	153	5264	9672	1.0	20x	raw	a647	0	606.884	450.964	49.007	0.254	2.949	6.29	-1.0	0	6.020536810813639	0.254
148	148	1	120	15858	22102	1.0	20x	raw	a647	83	496.893	365.117	49.822	0.254	2.8680000000000003	7.478	1.179	0	6.47678503286936	0.254
149	149	1	6	4677	8732	1.0	20x	raw	a647	69	57.982	256.909	52.752	0.253	1.578	10.546	1.394	0	4.837436758049809	0.253
151	151	1	100	6930	11930	1.0	20x	raw	a647	100	370.896	400.102	54.059	0.252	1.995	3.925	1.239	0	4.35035055273171	0.252
155	155	1	1	2988	7363	1.0	20x	raw	a647	32	13.058	125.864	53.898	0.25	1.7819999999999998	11.273	1.265	0	9.68949043574468	0.25
156	156	1	84	7434	14410	1.0	20x	raw	a647	0	296.967	41.93899999999999	55.328	0.249	2.095	16.634	-1.0	0	16.4537217068539	0.249
157	157	1	7	8570	15948	1.0	20x	raw	a647	69	61.056	244.236	54.023	0.249	1.547	5.53	1.2919999999999998	0	3.7409401827617503	0.249
242	242	1	120	15858	22102	1.0	20x	raw	a647	0	511.055	352.005	50.018	0.222	2.879	3.388	-1.0	0	3.99155661369816	0.222
160	160	1	120	15858	22102	1.0	20x	raw	a647	0	490.015	384.954	50.04	0.248	2.224	16.615	-1.0	0	4.07894765735889	0.248
161	161	1	110	7916	11319	1.0	20x	raw	a647	0	426.937	553.876	53.12600000000001	0.247	1.869	13.828	-1.0	0	13.1466675267439	0.247
162	162	1	89	10436	20499	1.0	20x	raw	a647	0	399.953	179.929	53.105	0.246	2.2430000000000003	3.622	-1.0	0	3.98559340987976	0.246
